link_id,from_node_id,to_node_id,geometry,length,link_type
0,0,1,"LINESTRING (120.215938 32.124165, 120.2154956 32.1250953, 120.2147808 32.1262873, 120.2143676 32.1269107)",339.668718454084,1
1,0,51,"LINESTRING (120.215938 32.124165, 120.2153934 32.1249976, 120.2146335 32.1261029, 120.2142629 32.126617, 120.213422 32.1276153, 120.2128125 32.128242, 120.2128125 32.128242, 120.2125177 32.1285336, 120.2125177 32.1285336, 120.2119524 32.1290662, 120.2112922 32.1296186, 120.2106792 32.1300844, 120.2099247 32.1306768, 120.2089817 32.1312558, 120.208015 32.1318414, 120.2069698 32.1323672, 120.2059953 32.1328064, 120.2049029 32.1332456, 120.2037476 32.1336982, 120.1985059 32.135819)",2146.5667402321933,1
2,0,1654,"LINESTRING (120.226981 32.070079, 120.226286 32.072288, 120.226048 32.07324, 120.225899 32.07413, 120.225172 32.07996, 120.225096 32.081369, 120.225133 32.082647, 120.225049 32.083652, 120.225036 32.08536, 120.2248625 32.0870845, 120.2248625 32.0870845, 120.2248303 32.0874209, 120.2248303 32.0874209, 120.2247016 32.08829, 120.2242245 32.0913494, 120.2234935 32.0944565, 120.2234935 32.0944565, 120.2230028 32.0964496, 120.2230028 32.0964496, 120.2226748 32.0978179, 120.2226748 32.0978179, 120.222571 32.0982807, 120.222571 32.0982807, 120.2224591 32.0987175, 120.221856 32.101458, 120.220959 32.104928, 120.220749 32.106018, 120.219675 32.110406, 120.2187401 32.1145129, 120.218488 32.115766, 120.217768 32.1186809, 120.2172817 32.1206595, 120.2163918 32.1230761, 120.2161827 32.1236112, 120.2161827 32.1236112, 120.2160076 32.1240255, 120.2160076 32.1240255, 120.215938 32.124165)",6120.014440605402,1
3,1,63,"LINESTRING (120.2143676 32.1269107, 120.2138406 32.1274997, 120.2132543 32.1282885, 120.2132543 32.1282885, 120.2131173 32.128481, 120.212986 32.1287271, 120.212986 32.1287271, 120.2128557 32.1291313, 120.2128241 32.1293183, 120.212827 32.129515, 120.2128741 32.129921, 120.2129999 32.1303137, 120.2131429 32.1306005, 120.2132318 32.1308, 120.2132318 32.1308, 120.2134511 32.1310914, 120.2135893 32.131275, 120.2145054 32.132473, 120.2145054 32.132473, 120.21507 32.133155, 120.2162776 32.1346221, 120.2169379 32.1354938)",1107.1932398406184,1
4,1,2680,"LINESTRING (120.2143676 32.1269107, 120.2140656 32.1273685, 120.2137892 32.1277679, 120.2136753 32.1280468, 120.2136347 32.1282671, 120.2136347 32.1282671, 120.213655 32.1285598, 120.2137607 32.1288662, 120.2138461 32.1290039, 120.2138461 32.1290039, 120.214151 32.1292759, 120.2144234 32.129479, 120.2146266 32.1296236, 120.2148868 32.1298922, 120.2151267 32.1302399, 120.2152609 32.1304774, 120.2154885 32.1306978, 120.2157203 32.1308355, 120.2160048 32.1309388, 120.216326 32.1309801, 120.2168428 32.1309784)",633.9662062947223,1
5,2,54,"LINESTRING (120.2131177 32.1270702, 120.213428 32.1268398, 120.2137541 32.1265675, 120.2141272 32.1262253, 120.215312 32.1247641)",330.87426728271555,1
6,2,55,"LINESTRING (120.2001243 32.134967, 120.205536 32.13288, 120.207301 32.13207, 120.208987 32.131087, 120.210305 32.130178, 120.211908 32.128937, 120.2123746 32.1285103, 120.2123746 32.1285103, 120.2126633 32.1282156, 120.2126633 32.1282156, 120.213091 32.127779, 120.213091 32.127779, 120.2137565 32.1270464, 120.2143886 32.1262043, 120.214892 32.125504, 120.215312 32.1247641)",1872.7879020714067,1
7,2,1449,"LINESTRING (120.215312 32.1247641, 120.215663 32.1242432, 120.2157846 32.1239897, 120.2157846 32.1239897, 120.2159763 32.1235902, 120.2159763 32.1235902, 120.216381 32.1227465, 120.2167542 32.1217849, 120.2171489 32.1205165, 120.2175532 32.118933, 120.2180252 32.1167867, 120.2185447 32.1146347, 120.2188639 32.1133119, 120.2190066 32.1125429, 120.2194613 32.1107752, 120.2200898 32.1081201, 120.2205398 32.1062536, 120.2210098 32.1042197, 120.221202 32.103317, 120.2224279 32.098178, 120.2224279 32.098178, 120.2225288 32.0977514, 120.2225288 32.0977514, 120.2228559 32.096379, 120.2228559 32.096379, 120.2233295 32.0943947, 120.2233295 32.0943947, 120.224151 32.090796, 120.224402 32.089341, 120.224669 32.0873827, 120.224669 32.0873827, 120.2247071 32.0870605, 120.2247071 32.0870605, 120.2248 32.086372, 120.2249932 32.0832257, 120.2250289 32.0804558, 120.225302 32.078188, 120.225685 32.075064, 120.226001 32.073167, 120.226497 32.070942, 120.2270701 32.0687844)",6342.415073324472,1
8,3,2280,"LINESTRING (120.040117 32.0345413, 120.040348 32.0341826)",45.4423314300047,3
9,3,1888,"LINESTRING (120.0385662 32.0374003, 120.0397751 32.0352561, 120.040117 32.0345413)",350.0236134842562,3
